29	13457	5	65047	29	2243	2	31388	1055	116	-	BASELINE,ORDER4,ORDER4_COMPOSED,NORMONLY
30	2917	1	53983	1459	37	4	13122	856	54	248	BASELINE,ORDER4,ORDER4_COMPOSED,ORDER6,ORDER6_COMPOSED,NORMONLY
31	15377	5	55459	31	1789	4	13410	892	124	-	BASELINE,ORDER4,ORDER4_COMPOSED,NORMONLY
32	8101	1	57521	97	593	8	7104	918	90	-	BASELINE,ORDER4,ORDER4_COMPOSED,NORMONLY
33	14401	1	54359	19	2861	10	5148	839	120	318	BASELINE,ORDER4,ORDER4_COMPOSED,ORDER6,ORDER6_COMPOSED,NORMONLY
